SKU,Category,Type,brandId,lagerUnitQuantity,Units,trademark,countryOfOrigin,Group
24,Pomegranate,Tropical fruit — Pomegranate— Plain,,1.0,,,,Tropical fruits
208,"Water, sparkling",Therapeutic-table water — PET — from 1 to 2 L,1241.0,1.5,,3670.0,1.0,Mineral water
1008,"Water, import, sparkling",Therapeutic-table water — Import — Glass,1241.0,0.5,,4970.0,14.0,Mineral water
16649,"Water, still",Table water — PET — from 1 to 2 L — Still,1241.0,1.5,,1323.0,1.0,Mineral water
20872,"Water, sparkling",Therapeutic-table water — PET — from 1 to 2 L,2693.0,1.5,,4384.0,1.0,Mineral water
26194,Semi-hard coarse-pored cheese,semi-hard cheese — More expensive — National — Available import,2737.0,1.0,,4891.0,16.0,Cheese
32485,Banana,Banana — Plain,,1.0,,,,Tropical fruits
32490,Avocado,Tropical fruit — Avocado,,1.0,,,,Tropical fruits
32546,Orange,Citrus fruit — Orange — Plain,,1.0,,,,Tropical fruits
32549,Grapefruit,Citrus fruit — Grapefruit — Plain,,1.0,,,,Tropical fruits
32550,Lemon,Citrus fruit — Lemon — Plain,,1.0,,,,Tropical fruits
39465,"Water, slightly sparkling",Table water — PET — from 1 to 2 L — Slightly sparkling,1241.0,1.5,,1323.0,1.0,Mineral water
47330,Semi-hard coarse-pored cheese,semi-hard cheese — More expensive — National — Available import,2737.0,1.0,,297.0,16.0,Cheese
49207,Mango,Tropical fruit — Mango — Plain,,1.0,,,,Tropical fruits
49450,Semi-hard bulk cheese,semi-hard cheese — Cheaper— National — Bulk — Rossiysky,7418.0,1.0,,1192.0,1.0,Cheese
67802,"Water, sparkling",Table water — PET — from 1 to 2 L — Strongly sparkling,1330.0,2.0,,2781.0,1.0,Mineral water
89074,Milk cakes,Sponge cake,2724.0,28.0,,1835.0,,Yogurts
96123,Grapefruit,Citrus fruit — Grapefruit — Graded,,1.0,,,37.0,Tropical fruits
134544,Kiwi,Tropical fruit — Kiwi— Plain,,1.0,,,,Tropical fruits
144184,Lime,Citrus fruit — Lime,,1.0,,,,Tropical fruits
219078,"Plain long loaf, own production",Bread — plain — wheat,,500.0,,9666.0,1.0,Bakery
219149,"Plain baguette loaf, own production",Baguette loaf — plain,,250.0,,9666.0,1.0,Bakery
221793,"Small flavored bread roll, own production",Small bread rolls,,70.0,,9666.0,1.0,Bakery
